Claim Ref,Status,Loss Date,Notification Date,Insured,Policy Ref,Paid,Reserve,Incurred,Currency
LKG-00010,open,19/04/2025,22/04/2025,Storey-O'Mahoney,POL-LKG-22441,29982.21,8497.44,38479.65,EUR
LKG-00018,open,02/03/2025,05/03/2025,"Victory, Dobbin and McCauley",POL-LKG-83769,10985.54,5040.14,16025.68,EUR
LKG-00109,open,01/02/2025,05/08/2025,Havenbrook Retail Group,POL-LKG-23507,8000.0,2678.06,22769.36,EUR
LKG-00012,open,24/02/2025,27/02/2025,Cowely and Sons,POL-LKG-82358,11605.03,6270.69,17875.72,EUR
LKG-00016,open,07/01/2025,10/01/2025,O'Gorman Inc,POL-LKG-74987,37942.45,350.97,38293.42,EUR
LKG-00105,open,31/07/2025,25/02/2025,Blackrock Underwriting Partners,POL-LKG-44278,22200.0,1356.25,36822.81,EUR
LKG-00020,open,18/02/2025,21/02/2025,Hatton PLC,POL-LKG-12250,6748.98,5311.75,12060.73,EUR
LKG-00015,open,21/10/2025,24/10/2025,"Hanratty, Maddy and Crohan",POL-LKG-60374,19419.27,7381.49,26800.76,EUR
LKG-00011,open,23/10/2025,26/10/2025,Hehir and Sons,POL-LKG-80513,18988.3,793.31,19781.61,EUR
LKG-00107,open,01/03/2025,21/03/2025,Sterling Marine Assurance,POL-LKG-40585,11200.0,9582.54,11561.22,EUR
LKG-00101,open,06/09/2025,09/09/2025,Meridian Logistics Ltd,POL-LKG-64457,36695.13,9236.63,45931.76,EUR
LKG-00009,open,13/08/2025,16/08/2025,Crinion PLC,POL-LKG-23086,24217.51,5387.45,29604.96,EUR
LKG-00019,open,08/09/2025,11/09/2025,"Coady, McRann and Stack",POL-LKG-95789,3182.29,4715.17,7897.46,EUR
LKG-00008,open,06/02/2025,09/02/2025,Maginn LLC,POL-LKG-83413,4157.01,2001.32,6158.33,EUR
LKG-00106,open,01/03/2025,21/04/2025,Sterling Marine Assurance,POL-LKG-31528,10000.0,859.59,31964.8,EUR
LKG-00013,open,04/03/2025,07/03/2025,"Woulfe, Murnin and Ternan",POL-LKG-62962,14705.12,5297.23,20002.35,EUR
LKG-00102,open,01/04/2025,25/10/2025,Fairwind Shipping Group,POL-LKG-29193,15000.0,7941.15,8968.88,EUR
LKG-00006,open,04/04/2025,07/04/2025,Reynoldson and Sons,POL-LKG-82219,13928.07,1173.08,15101.15,EUR
LKG-00014,open,26/10/2025,29/10/2025,Dane Ltd,POL-LKG-38725,37888.81,5309.68,43198.49,EUR
LKG-00104,open,01/06/2025,30/08/2025,Blackrock Underwriting Partners,POL-LKG-72377,22000.0,3902.59,9327.36,EUR
LKG-00007,open,14/05/2025,17/05/2025,Rowe Group,POL-LKG-35124,21824.76,2049.76,23874.52,EUR
LKG-00017,open,21/01/2025,24/01/2025,"Deehan, Killoughry and Nelson",POL-LKG-66728,30087.63,7601.57,37689.2,EUR
LKG-00004,open,02/01/2025,05/01/2025,"Holohan, Fahey and Weaver",POL-LKG-75162,34193.63,283.51,34477.14,EUR
LKG-00101,open,06/09/2025,09/09/2025,Meridian Logistics Ltd,POL-LKG-64457,36695.13,9236.63,45931.76,EUR
LKG-00110,open,15/01/2025,02/09/2025,Northgate Aviation Services,POL-LKG-46209,5000.0,2950.43,28200.07,EUR
LKG-00108,open,01/02/2025,17/09/2025,Coastal Freight Holdings,POL-LKG-85570,8000.0,9669.28,40684.42,EUR
LKG-00005,open,30/03/2025,02/04/2025,"Riordan, Allis and Lahey",POL-LKG-60928,31905.1,1912.31,33817.41,EUR
LKG-00103,open,11/04/2025,17/01/2025,FAIRWIND SHIPPING GROUP,POL-LKG-97366,15150.0,2399.06,30738.05,EUR
LKG-00001,open,10/05/2025,13/05/2025,MacVeagh-Gray,POL-LKG-25081,13710.34,2404.94,16115.28,EUR
LKG-00002,open,30/05/2025,02/06/2025,Golden Inc,POL-LKG-90128,19573.23,5578.95,25152.18,EUR
LKG-00003,open,02/05/2025,05/05/2025,O'Sheil-Whyte,POL-LKG-75617,6673.39,6306.51,12979.9,EUR
LKG-00111,open,15/05/2025,31/05/2025,Northgate Aviation Services,POL-LKG-87573,5050.0,1891.15,20586.92,EUR
