Claim Ref,Status,Loss Date,Notification Date,Insured,Policy Ref,Paid,Reserve,Incurred,Currency
SDG-00031,open,30/05/2025,09/06/2025,Wynne PLC,POL-SDG-38080,2834.29,4760.09,7594.38,USD
SDG-00008,open,25/06/2025,22/07/2025,Kneafsey-Banks,POL-SDG-16006,14465.4,3845.77,18311.17,EUR
SDG-00037,closed,07/04/2025,04/05/2025,McIlwee Group,POL-SDG-11934,34238.68,0.0,34238.68,EUR
SDG-00040,closed,09/03/2024,31/03/2024,Maxwell-Denning,POL-SDG-96752,38292.71,0.0,38292.71,GBP
SDG-00011,closed,19/12/2024,17/01/2025,Davin-Culligan,POL-SDG-80010,27341.91,0.0,27341.91,EUR
SDG-00027,closed,24/06/2024,21/07/2024,Kiernan-Conlan,POL-SDG-36365,24263.76,0.0,24263.76,EUR
SDG-00016,open,01/02/2025,18/02/2025,McDermod-Goff,POL-SDG-86484,21559.09,14940.28,36499.37,GBP
SDG-00029,closed,11/09/2023,18/09/2023,"Richie, McMonagle and O'Dwyer",POL-SDG-40161,2561.04,0.0,2561.04,USD
SDG-00008,open,25/06/2025,22/07/2025,Kneafsey-Banks,POL-SDG-16006,14465.4,3845.77,18311.17,EUR
SDG-00042,closed,04/02/2025,14/02/2025,Annsboro-Kerley,POL-SDG-79615,2286.61,0.0,2286.61,EUR
SDG-00013,open,13/05/2025,06/06/2025,Kerr-Carr,POL-SDG-51347,31040.0,4580.96,35620.96,GBP
SDG-00007,,03/07/2024,06/07/2024,"Tormay, Molloy and Hawthorn",POL-SDG-48427,38924.63,0.0,38924.63,USD
SDG-00020,reopened,27/11/2024,20/12/2024,McEllistrim-Flahive,POL-SDG-94012,4582.07,17695.77,22277.84,EUR
SDG-00030,closed,14/08/2023,14/08/2023,Kerrigan and Sons,POL-SDG-18834,2839.72,0.0,2839.72,EUR
SDG-00048,open,14/04/2024,03/05/2024,MacBreen-Hosae,POL-SDG-80468,39938.18,19921.93,59860.11,EUR
SDG-00012,closed,17/06/2023,01/07/2023,Curnyn-McCullagh,POL-SDG-38785,15178.22,0.0,15178.22,EUR
SDG-00002,open,23/11/2024,16/12/2024,Hedderman and Sons,POL-SDG-14165,35687.18,1738.78,37425.96,EUR
SDG-00025,open,04/09/2023,02/10/2023,MacNelis Inc,POL-SDG-19071,22694.28,1575.14,24269.42,USD
SDG-00005,reopened,15/12/2023,23/12/2023,Hastings and Sons,POL-SDG-23396,6219.18,19144.26,25363.44,EUR
SDG-00035,closed,15/01/2025,25/01/2025,Fehan Ltd,POL-SDG-34931,32023.7,0.0,32023.7,USD
SDG-00050,reopened,19/10/2023,24/10/2023,Creedon Ltd,POL-SDG-90173,17527.38,10864.36,28391.74,USD
SDG-00034,open,25/02/2024,10/03/2024,"Reade, Crudden and Cassen",POL-SDG-17944,34553.47,1083.42,35636.89,GBP
SDG-00026,closed,23/02/2025,27/02/2025,Buttimer LLC,POL-SDG-31643,5135.66,0.0,5135.66,EUR
SDG-00048,open,14/04/2024,03/05/2024,MacBreen-Hosae,POL-SDG-80468,39938.18,19921.93,59860.11,EUR
SDG-00023,closed,06/06/2023,17/06/2023,"Hyland, Flannelly and O'Hagan",POL-SDG-10074,30500.43,0.0,30500.43,USD
SDG-00036,closed,04/04/2024,08/04/2024,Montgomery PLC,POL-SDG-19880,16875.27,0.0,16875.27,GBP
SDG-00015,reopened,10/02/2024,09/03/2024,Cotter-Victory,POL-SDG-28301,36581.9,9177.04,45758.94,EUR
SDG-00024,reopened,28/11/2023,13/12/2023,Kilgallen-Whelan,POL-SDG-41385,779.07,18581.97,19361.04,EUR
SDG-00038,open,10/02/2025,09/03/2025,"O'Kieve, Smythe and Kealey",POL-SDG-38016,9455.18,8128.28,17583.46,GBP
SDG-00045,closed,31/08/2024,01/09/2024,McGillicuddy and Sons,POL-SDG-84085,24775.26,0.0,24775.26,USD
SDG-00021,reopened,25/04/2023,04/05/2023,McCool-Hankard,POL-SDG-75612,17390.61,9074.47,26465.08,EUR
SDG-00009,open,02/03/2025,11/03/2025,Moone LLC,POL-SDG-59823,39408.86,17106.35,56515.21,EUR
SDG-00047,reopened,10/02/2024,14/02/2024,Boner-Dermody,POL-SDG-19508,26867.61,5999.94,32867.55,EUR
SDG-00001,closed,16/10/2024,19/10/2024,"Denning, Breheny and Kinnear",POL-SDG-28289,1000.43,0.0,2200.43,EUR
